filename,score,total generations,total time,efficiency (gen/min),perplexity score,relevant generations,percent of relevant generations generated,wasted generations,parser
final_test\keyword_model_check_generate-galactica-6.7b-html-0.txt,0.09,34,1111.45,1.8354401907418236,114.12,5,0.1111111111111111,29,html
final_test\keyword_model_check_generate-galactica-6.7b-html-1.txt,0.02,8,1130.07,0.4247524489633386,12.82,1,0.022222222222222223,7,html
final_test\keyword_model_check_generate-galactica-6.7b-html-2.txt,0.0,8,1128.12,0.4254866503563451,21.6,0,0.0,8,html
final_test\keyword_model_check_generate-Llama-2-13b-hf-html-0.txt,0.01,7,1427.03,0.29431756865658043,7.29,2,0.044444444444444446,5,html
final_test\keyword_model_check_generate-Llama-2-13b-hf-html-1.txt,0.01,5,1297.18,0.23127091074484651,29.02,3,0.06666666666666667,2,html
final_test\keyword_model_check_generate-Llama-2-13b-hf-html-2.txt,0.03,11,1405.24,0.46967066123936124,29.74,4,0.08888888888888889,7,html
final_test\keyword_model_check_generate-Llama-2-7b-hf-html-0.txt,0.08,48,1857.76,1.5502540694169322,13.14,11,0.24444444444444444,37,html
final_test\keyword_model_check_generate-Llama-2-7b-hf-html-1.txt,0.22,80,1876.44,2.558035428790689,19.94,32,0.7111111111111111,48,html
final_test\keyword_model_check_generate-Llama-2-7b-hf-html-2.txt,0.17,65,1836.53,2.123569993411488,20.02,18,0.4,47,html
final_test\keyword_model_expert_check_generate-falcon-7b-instruct-html-0.txt,0.18,98,337.4,17.427385892116185,106.58,23,0.5111111111111111,75,html
